Game Name,ELF File
2 Spicy,apacheM.elf
After Burner,abc
After Burner Climax SDX,abc 
Ghost Squad Evolution,abc
Harley-Davidson: King of the Road,vsg or gsevo 
Hummer,chopperM.elf 
Hummer SDLX,a.elf
Hummer Extreme,a.elf 
Initial D 4 (Export),hummer_Master.elf  
Initial D Arcade Stage 4,id4.elf
Initial D 5 (Export),id5.elf 
Initial D Arcade Stage 5,id5.elf 
Let's go Jungle!,lgj_final  
Let's go Jungle! Special,lgjsp_app  
OutRun 2 SP SDX,Jennifer 
OutRun 2 SP SDX (Bootleg),Jennifer
Primeval Hunt,main.exe 
Rambo,ramboM.elf
R-Tuned Ultimate Street Racing,dsr
Sega Race TV,drive.elf  
The House of the Dead 4,hod4M.elf 
The House of the Dead 4 Special,hod4M.elf 
The House of the Dead EX,hodexRI.elf 
Virtua Fighter 5,vf5
Virtua Fighter 5 C,vf5 
Virtua Fighter 5 Final Showdown,vf5 
Virtua Fighter 5 R,vf5
Virtua Tennis 3,vt3 or vt3_Lindbergh
